player,player2,team,hs acc,acc spotted,acc all,acc spray,counter strafe,crosshair_placement,time_to_damage,sens,teams,role,mouse,mouse2,length,width,height,size,weight,type,mouse_hertz,dpi,edpi,zoom_sens,accel,windows_sens,raw_input,hertz,resolution,aspect_ratio,mouse_pad,speed
meyern,meyern,Furious,30.49%,38.39%,20.12%,36.45%,90.15%,10.65 °,519 ms,2.5,9z Team,Rifler,Zowie EC1-B,Zowie EC1-B,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,"1,000",1,0,6,1,240,1024x768,4:03,SteelSeries QcK+ Limited,5
mir,mir,Spirit,22.80%,40.88%,17.65%,43.59%,88.30%,10.54 °,530 ms,1.55,Spirit,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,620,1,0,6,1,240,1280x960,4:03,SteelSeries QcK Heavy,5
n0rb3r7,n0rb3r7,K23,21.11%,41.47%,17.84%,43.38%,77.53%,11.04 °,520 ms,1.7,K23,Rifler,Zowie EC2-B,Zowie EC2-B,12,6.4,4,M,90,Ergonomic,"1,000",800,"1,360",1,0,6,1,240,1440:900,16:10,Zowie G-SR-SE Tyloo Edition,4
nafany,nafany,Gambit,18.72%,39.90%,18.46%,45.80%,79.58%,11.58 °,496 ms,2,Gambit,Rifler,Razer Viper Ultimate,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",400,800,1,0,6,1,240,1280x960,4:03,Logitech G640,5
nawwk,nawwk,NiP,22.14%,39.28%,19.52%,32.38%,78.64%,7.83 °,491 ms,3.09,FA,AWPer,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,"1,236",1,0,6,1,240,1280x960,4:03,Zowie G-SR,5
NBK,NBK-,Free agent,23.01%,37.38%,12.63%,40.25%,87.53%,10.21 °,551 ms,1.3,Retired,Rifler,Razer Viper Ultimate,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",800,"1,040",0.9,0,6,1,240,1280x1024,5:04,2x Logitech G640,5
nexa,nexa,G2,22.29%,39.14%,20.37%,41.75%,80.47%,10.88 °,515 ms,1.22,G2,Rifler,Logitech G403 HERO,Logitech G403,12.4,6.8,4.3,L,87.3,Ergonomic,"1,000",800,976,1,0,6,1,240,1024x768,4:03,Logitech G640,5
Nickelback,NickelBack,Entropiq,14.44%,38.29%,15.37%,42.35%,72.93%,10.35 °,514 ms,0.8,Entropiq,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,640,0.98,0,6,1,240,1280x960,4:03,Logitech G640,5
NiKo,NiKo,G2,22.72%,44.66%,21.19%,46.70%,88.24%,8.98 °,500 ms,1.51,G2,Rifler,Zowie S1,Zowie S1,12.6,6.6,3.9,M,87,Ambidextrous,"1,000",400,604,0.9,0,6,1,240,1280x960,4:03,Logitech G640,5
Nivera,Nivera,Vitality,26.40%,38.44%,17.58%,36.40%,77.30%,9.99 °,525 ms,0.55,Vitality (B),Rifler,Razer DeathAdder Elite,Razer DeathAdder Elite,12.7,7,4.4,L,105,Ergonomic,"1,000",800,440,1,0,6,1,240,1024x768,4:03,Razer Gigantus,6
oSee,oSee,Extra Salt,21.68%,45.39%,25.48%,40.08%,88.95%,7.49 °,469 ms,1,Extra Salt,AWPer,Logitech G Pro Wireless GHOST,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",800,800,1,0,6,1,240,1280x960,4:03,Zowie G-SR,5
oskar,oskar,Sinners,25.41%,50.66%,24.16%,33.32%,78.08%,7.84 °,477 ms,3.5,SINNERS,AWPer,Razer DeathAdder Elite,Razer DeathAdder Elite,12.7,7,4.4,L,105,Ergonomic,"1,000",400,"1,400",0.8,0,6,1,240,1024x768,4:03,SteelSeries QcK Heavy,5
Perfecto,Perfecto,Natus Vincere,16.50%,39.79%,19.17%,46.75%,75.79%,10.83 °,484 ms,1.35,NaVi,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,080",1,0,6,1,240,1280x1024,5:04,Logitech G640,5
rAge,rAge,KHAN,23.38%,40.70%,17.90%,40.68%,78.04%,7.39 °,472 ms,3.08,FA,AWPer,Xtrfy M4 Black,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",400,"1,232",1,0,6,1,240,1024x768,4:03,Xtrfy GP1 Grayhound Edition,6
rallen,rallen,AGO,19.10%,39.38%,17.49%,42.09%,76.19%,9.29 °,499 ms,1.2,AGO,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,500,"1,800","2,160",1,0,6,0,240,1440x1080,4:03,Zowie G-SR,5
refrezh,refrezh,Heroic,19.67%,43.49%,21.85%,47.23%,80.90%,11.77 °,494 ms,0.95,Heroic,Rifler,Zowie FK2,Zowie FK2,12.4,5.8,3.6,S,85,Ambidextrous,"1,000",800,760,1,0,6,1,240,1366x768,16:09,Zowie G-SR,5
REZ,REZ,NiP,20.29%,40.26%,17.90%,45.57%,79.31%,9.49 °,488 ms,2.3,NiP,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,920,0.8,0,6,1,360,1280x800,16:10,Logitech G640,5
roeJ,roeJ,Copenhagen Flames,23.32%,36.64%,19.52%,39.68%,76.97%,10.56 °,526 ms,1.95,ML (B),Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,780,1,0,6,1,240,1600x900,16:09,SteelSeries QcK+,5
RUSH,RUSH,Complexity,18.87%,42.41%,20.77%,47.54%,80.47%,10.54 °,510 ms,2.4,FA,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,960,1,0,6,1,240,1024x768,4:03,HyperX FURY S Speed Edition,4
s1mple,s1mple,Natus Vincere,27.16%,43.56%,21.30%,43.35%,85.66%,7.68 °,468 ms,3.09,NaVi,AWPer,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,"1,236",1,0,6,1,240,1280x960,4:03,HATOR INTBS,4
SANJI,Sanji,Virtus.pro,25.55%,36.64%,16.71%,36.75%,85.19%,9.31 °,513 ms,1.22,Virtus.pro,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,488,1,0,6,1,240,1024x768,4:03,SteelSeries QcK Heavy,5
sdy,sdy,Spirit,18.82%,44.07%,19.01%,43.08%,80.85%,11.03 °,505 ms,1,Spirit,Rifler,Zowie ZA12,Zowie ZA12,12.4,6.4,3.9,M,85,Ambidextrous,"1,000",800,800,1,0,6,1,240,1280x1024,5:04,Zowie G-SR-SE Red Edition,4
sergej,sergej,GORILLAZ,19.52%,37.81%,16.94%,38.03%,77.48%,8.76 °,478 ms,2.2,GORILLAZ,Rifler,FinalMouse Ultralight 2,Finalmouse Ultralight 2,11.6,5.3,3.57,S,48,Ambidextrous,500,400,880,1,0,6,1,360,1680x1050,16:10,Logitech G640 ENCE Edition,5
sh1ro,sh1ro,Gambit,18.91%,43.64%,23.99%,39.01%,78.44%,7.29 °,428 ms,1.03,Gambit,AWPer,Xtrfy M4 White,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",800,824,1,0,6,1,240,1024x768,4:03,Zowie G-SR,5
SHOCK,SHOCK,Sinners,26.40%,44.93%,20.41%,46.73%,86.48%,9.82 °,529 ms,1.17,SINNERS,Rifler,Xtrfy M4 Black,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",400,468,0.8,0,6,1,240,1280x800,16:10,Xtrfy GP1,6
Snappi,Snappi,ENCE,20.41%,35.92%,16.06%,38.54%,76.97%,10.4 °,528 ms,2.3,ENCE,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,920,1,0,6,1,240,1280x960,4:03,Zowie G-SR DG,4
Sonic,Sonic,Extra Salt,20.97%,37.05%,15.43%,37.80%,84.78%,10.97 °,505 ms,2.5,Extra Salt,Rifler,Glorious Model D Matte White,Glorious Model D,12.8,6.3,4.2,M/L,68,Ergonomic,"1,000",400,"1,000",1,0,6,1,240,1280x960,4:03,SteelSeries QcK+,5
Spinx,Spinx,ENCE,25.52%,37.91%,17.43%,41%,83.56%,10.33 °,507 ms,1.2,ENCE,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",900,"1,080",1,0,6,1,240,1280x960,4:03,Logitech G640,5
stadodo,stadodo,sAw,21.09%,36.24%,13.23%,31.53%,73.23%,10.42 °,497 ms,2.4,sAw,AWPer,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,960,1,0,6,1,240,1280x1024,5:04,Corsair MM200,6
stanislaw,stanislaw,Evil Geniuses,19.52%,40.21%,17.87%,46.26%,83.63%,10.68 °,561 ms,2.5,EG (B),Rifler,Razer Viper Ultimate EG Edition,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",400,"1,000",1,0,6,1,240,1024x768,4:03,Razer Gigantus EG Edition,6
